,Job Title,Location,Date,Link,Job Attributes,Job Description
1,Data Science Fellowship,N/A,Feb  4,https://boston.craigslist.org/gbs/sof/d/boston-data-science-fellowship/6811709444.html,"
compensation: 80,000-160,000

employment type: full-time

telecommuting okay

","

QR Code Link to This Post


What is Pathrise
Pathrise (YC W18) invests in undervalued university students or young professionals by coaching them to get a competitive internship or job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from Google recruiters to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 130 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship
The Pathrise Fellowship is a program for students and new grads that helps you land the best job or internship possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry engineers, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission
We seek to uplift and provide guidance for undervalued students and young professionals in their early career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications
You are either in university or within 5 years of graduation, and interested in getting the best possible job.
You want to work with an experienced advisor who can give you expert advice whether you need to learn about data structures or UI/UX patterns.
You are eager to start your career with a job or internship at a top tech company or a rapidly growing startup.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=CLBOSData&utm_campaign=CLBOSData&utm_medium=web "
2,Product Management Fellow,N/A,Feb  4,https://boston.craigslist.org/gbs/sof/d/boston-product-management-fellow/6811708341.html,"
compensation: 80,000-160,000

employment type: full-time

telecommuting okay

","

QR Code Link to This Post


What is Pathrise
Pathrise (YC W18) invests in undervalued university students or young professionals by coaching them to get a competitive internship or job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from Google recruiters to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 130 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship
The Pathrise Fellowship is a program for students and new grads that helps you land the best job or internship possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry engineers, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission
We seek to uplift and provide guidance for undervalued students and young professionals in their early career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications
You are either in university or within 5 years of graduation, and interested in getting the best possible job.
You want to work with an experienced advisor who can give you expert advice whether you need to learn about data structures or UI/UX patterns.
You are eager to start your career with a job or internship at a top tech company or a rapidly growing startup.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=CLBOSProduct&utm_campaign=CLBOSProduct&utm_medium=web "
3,Software Engineering Fellow,N/A,Feb  4,https://boston.craigslist.org/gbs/sof/d/boston-software-engineering-fellow/6811688171.html,"
compensation: 80,000-160,000

employment type: full-time

telecommuting okay

","

QR Code Link to This Post


What is Pathrise
Pathrise (YC W18) invests in undervalued university students or young professionals by coaching them to get a competitive internship or job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from Google recruiters to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 130 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship
The Pathrise Fellowship is a program for students and new grads that helps you land the best job or internship possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry engineers, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission
We seek to uplift and provide guidance for undervalued students and young professionals in their early career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications
You are either in university or within 5 years of graduation, and interested in getting the best possible job.
You want to work with an experienced advisor who can give you expert advice whether you need to learn about data structures or UI/UX patterns.
You are eager to start your career with a job or internship at a top tech company or a rapidly growing startup.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=CLBOSSWE&utm_campaign=CLBOSSWE&utm_medium=web "
4,Senior UX Software Engineer,Somerville,Feb  4,https://boston.craigslist.org/gbs/sof/d/cambridge-senior-ux-software-engineer/6811517517.html,"
compensation: N/A

employment type: full-time

","

QR Code Link to This Post


At RightHand Robotics, we have a rapidly growing and highly capable engineering team building robotic piece-picking solutions and deploying them around the globe. Our product has to be reliable enough to run non-stop on production fleets of robots in the world's largest warehouses. If you're simultaneously excited and a bit terrified about what this could mean for you, good! If working hands-on with robots on a daily basis intrigues you, read on!

We are seeking a self-motivated individual to join our growing software team as a UX developer. As the company grows, you will take ownership of multiple user interfaces for a wide variety of audiences, from warehouse operations teams who manage fleets of robots to business users monitoring system performance. You will also support a variety of engineers who require intuitive visualization tools to develop the next generation of our piece-picking robotic system.

You will:
* Develop and maintain web-technology-based user interfaces for industrial robots
* Contribute to roadmap planning of internal- and external-facing user interfaces
* Design content organization schemes of our user interfaces for both technical and non-technical audiences
* Occasionally travel to customer sites to gather use-case information

You have:
* Bachelor's degree in Computer Science or equivalent experience
* 10+ years web UX/UI development experience
* Experience working with one or more web development frameworks
* Excellent written and verbal communication skills
* A passion (if not curiosity) for robotics
* Experience working in a Linux environment
* UX design experience

Bonus:
* Python development experience
* Back-end development experience

Our perks include:
* Flexible vacation
* Generous premium coverage for medical and dental plans
* Robots, galore!

RightHand Robotics (RHR) is an Equal Opportunity Employer. We have an ongoing commitment to the creation of a workplace free of discrimination and harassment. RHR recruits, hires, trains, and promotes individuals in all job titles without regard to race, color, sex, religion, ancestry, sexual orientation, gender identity, national origin, age, physical or mental disability, pregnancy, veteran status, marital status, genetic information, height, weight, or any other status protected by federal, state or local law. At RHR, we are committed to a fair and equitable workplace where everyone is a respected and a valued member of the team.

If you think you're a good fit, apply here: https://www.righthandrobotics.com/careers "
5,Director of Software Engineering,Somerville,Feb  4,https://boston.craigslist.org/gbs/sof/d/cambridge-director-of-software/6811456066.html,"
compensation: N/A

employment type: full-time

","

QR Code Link to This Post


At RightHand Robotics, we have a rapidly growing and highly capable engineering team building robotic piece-picking solutions and deploying them around the globe. Our product has to be reliable enough to run non-stop on production fleets of robots in the world's largest warehouses. If you're simultaneously excited and a bit terrified about what this could mean for you, good! If working hands-on with robots on a daily basis intrigues you, read on!

RHR is looking for an accomplished engineer with production-level leadership experience to lead the Software Applications Engineering team. The ideal candidate is an experienced developer, has demonstrated leadership experience with production-level software, and thrives in a fast-paced startup environment. Our engineers work closely with our team of researchers and HW engineers to integrate state-of-the-art algorithms into our robots while preserving stability, consistent APIs, and system speed.

This role reports to the Head of Engineering and is on a track to a position more broadly leading software development efforts at RHR.

You will:
* Lead and grow a diverse team of software engineers to develop core software that scales across diverse customer installations
* Get your hands dirty with the code whenever needed
* Coach and mentor your team to increase their technical skills, coding quality and ability to generate simple, scalable solutions

You have:
* MS in Computer Science or Software Engineering (or BS and equivalent experience)
* 10+ years of software development experience, with expertise in Python
* 5+ years experience in project management and personnel management
* A proven track record designing and executing scalable software solutions
* A record of executing deliverables on time in fast-paced environments with performance-driven results
* A record of hiring, mentoring, and retaining strong and collaborative technical team members
* Excellent communication and writing skills
* A curiosity (if not passion!) for robots  

Our perks include:
* Flexible vacation
* Generous premium coverage for medical and dental plans
* Robots, galore!

RightHand Robotics (RHR) is an Equal Opportunity Employer. We have an ongoing commitment to the creation of a workplace free of discrimination and harassment. RHR recruits, hires, trains, and promotes individuals in all job titles without regard to race, color, sex, religion, ancestry, sexual orientation, gender identity, national origin, age, physical or mental disability, pregnancy, veteran status, marital status, genetic information, height, weight, or any other status protected by federal, state or local law. At RHR, we are committed to a fair and equitable workplace where everyone is a respected and a valued member of the team.

If you think you're a good fit, please apply here:
https://www.righthandrobotics.com/careers "
6,"Senior Software Test Automation Developer - Robotics, Python","Somerville, MA",Feb  4,https://boston.craigslist.org/gbs/sof/d/cambridge-senior-software-test/6811419506.html,"
compensation: N/A

employment type: full-time

","

QR Code Link to This Post


At RightHand Robotics, we have a rapidly growing and highly capable engineering team building robotic piece-picking solutions and deploying them around the globe. Our product has to be reliable enough to run non-stop on production fleets of robots in the world's largest warehouses. If you're simultaneously excited and a bit terrified about what this could mean for you, good! If working hands-on with robots on a daily basis intrigues you, read on!

The Senior Software Test Automation Developer determines when our systems are good enough to ship from us to our customers and acts as a core confirmation that our robots do what we say they do. Our customers depend on our flagship RightPick piece-picking robots for consistent, reliable robotic piece-picking. We will depend on you to verify the quality of everything that goes out the door. You will have a large impact in defining acceptance criteria for product requirements and writing software to make sure that those criteria are met. Your thoughtful troubleshooting in-house -- seeing something unexpected and digging in to discover why and what its implications are -- will be a major factor in our robot's success in the field.

You will:
* Provide continuous integration for our software-hardware platform
* Perform white-box and black-box testing
* Write acceptance tests
* Mentor junior engineers on writing tests and testable code
* Implement and manage a test framework for the engineering team
* Define quality metrics for the product
* Work regularly on and around production-grade robots

You have:
* BS in Computer Science or Software Engineering
* 5+ years of software development experience in Python
* 3+ years of experience with testing methodologies and the ability to operate within short release cycles
* Familiarity with Linux, git, and one or more established test frameworks so that you can hit the ground running.

We are particularly excited to hear from candidates with experience in one or more of the following:
* C++
* Robotics
* Web services
* ML test frameworks

Our perks include:
* Flexible vacation
* Generous premium coverage for medical and dental plans
* Robots, galore!

RightHand Robotics (RHR) is an Equal Opportunity Employer. We have an ongoing commitment to the creation of a workplace free of discrimination and harassment. RHR recruits, hires, trains, and promotes individuals in all job titles without regard to race, color, sex, religion, ancestry, sexual orientation, gender identity, national origin, age, physical or mental disability, pregnancy, veteran status, marital status, genetic information, height, weight, or any other status protected by federal, state or local law. At RHR, we are committed to a fair and equitable workplace where everyone is a respected and a valued member of the team.

Apply for this job here:
https://www.righthandrobotics.com/careers "
7,BA/QA(BUSINESS ANALYST/QUALITY ANALYST) TRAINING & 100% JOB PLACEMENT,"Boston, MA",Feb  4,https://boston.craigslist.org/gbs/sof/d/ba-qabusiness-analyst-quality-analyst/6811175035.html,"
compensation: DOE

employment type: contract

","

QR Code Link to This Post


BA/QA(BUSINESS ANALYST/QUALITY ANALYST) TRAINING & 100% JOB PLACEMENT


For more information please call 732 250 3906

Demo Introduction Video: www.youtube.com/watch?v=SHj5bH6VTu8


We offer a Combo BA/QA Course where the students can learn the concepts of BA/QA in the same Program with out any additional effort. This also gives the flexibility for the students to choose the best Career option...BA or QA at the end of the course.

100% JOB PLACEMENT ASSISTANCE RECORD. ALSO SPECIALIZE IN JOBS PLACEMENTS IN NJ,NY as we work mostly with LOCAL CLIENTS in EAST COAST.

We offer detailed ,comprehensive and Job Oriented training in Business Analyst/Quality Analysis with Placement Assistance.
Flexible timings on Weekdays/Weekends
Professional guidance for resume preparation and interviews
Counseling/One-on-one discussion with Trainer to clarify your doubts.
Flexible timings for the training.
Aggressive marketing by experienced placement team
H1b and Green cards sponsorship for deserving candidates
Training for Certifications and Reimbursement for Certifications on a need basis.
Professional Training and training material.
We are currently looking for Citizens/GC holders/OPT/CPT holders/ H1B
We provide excellent benefits like

Competitive Salary or hourly rates.
Health Insurance.
Corporate training opportunities
Job Placement
Resume Preparation
Discussion on Interview Questions
Job Placement Support
On Job Support


For more information please call 732 250 3906
QA Testing Course Content
Introduction to Software Testing
• What is Software Testing?

Software Development Life cycle
• Requirements
• Analysis
• Design
• Coding
• Testing
• Acceptance

SDLC Models
• Agile
• Waterfall model
• Spiral model
• V-Model

Testing-Methods
• White Box Testing
• Black Box testing
• Gray Box testing

Types of Testing (Black Box Testing)
• Build Verification Testing
• Functional Testing
• Integration Testing
• Regression Testing
• System Testing
• Acceptance Testing
• Smoke and Sanity Testing
• Ad-hoc Testing
• Exploratory Testing
• Compatibility Testing
• Disaster Recovery Resting
• Load, Volume, Stress and Performance Testing

Testing Life Cycle / Quality Assurance Life Cycle / Software Testing Life Cycle
• Requirements
• System study
• Test plan
• Test Cases
• Traceability Matrix
• Test case execution
• Defect tracking
• Test Summary Report
• User Acceptance Testing

Test Plan
• Objective
• Scope
• Approach
• Methodologies
• Deliverables
• Test environment
• Schedule and Resources
• Effort and estimation
• Entry and Exit criteria
• Templates
• Risk
• Assumption
• Contingency Plan
• References

Test Case
• Test Case Design
• How to write test cases
• When to execute test cases

Checklists
• How to create checklists
• When to use checklists

Defect tracking
• Defect life cycle
• Severity, priority
• Defect tracking Tool -- Quality Center, Bugzilla and Rational Clear Quest
• Defect report
• Defect Tracking Sheet 
• OK for recruiters to contact this job poster.
• do NOT contact us with unsolicited services or offers


•	OK for recruiters to contact this job poster.
•	do NOT contact us with unsolicited services or offers

"
8,Software Development Engineer I,"Waltham, MA",Feb  1,https://boston.craigslist.org/bmw/sof/d/waltham-software-development-engineer/6809218882.html,"
compensation: DOE + benefits

employment type: full-time

","

QR Code Link to This Post


Yardi Systems is currently seeking a full time, highly motivated Software Development Engineer I to join their growing team in Waltham, MA! 

In response to continued demand for our services, Yardi Resident Screening is looking for a Software Development Engineer to join our team in Waltham, MA.  Reporting to the Director of Information Technology, you will be a core member of our software development team.   You will leverage your analytical problem solving skills to support and enhance our Linux and web based systems utilizing your solid Java programming skills, database skills and knowledge of open source tools. 

RESPONSIBILITIES
•	Perform development tasks including programming, unit testing, and database design.
•	Contribute to integration and general system regression testing.
•	Participate on installs and provide on-going production support.

EDUCATION/ESSENTIAL SKILLS/ EXPERIENCE/REQUIREMENTS
•	BS or MS Degree in Computer Science, Systems Engineering or related field.
•	2+ years' experience in Software Development.
•	Interest to contribute to systems architectural improvements.
•	Excellent verbal and written communication skills as well as being a team player.
•	1+ years of experience working on multi-tiered web application architecture.
•	1+ years supporting and developing production systems using Linux, Java, XML , JAXB, JSP, JavaScript, JQuery, Tomcat, web services.
•	Good relational databases skill using PostgreSQL or Oracle with JDBC, SQL, Hibernate.
•	Experience with Eclipse IDE and use of source repositories.
•	Experience with 3rd Party API Integration (web services,...)
•	Solid object oriented skills and conceptual understanding.
•	Understanding of the product development lifecycle through design, development, testing, rollout, and support.
•	Ability to understand and document business requirements.
•	Ability to work with multi-site and off-shore development teams.
•	Availability for occasional night, weekend, and holiday work assignments.


PLEASE APPLY TO: http://www.yardi.com/about-us/career-opportunities/?jobRequested=11367

Yardi Systems is a successful independent software company with a proven history of growth and market leadership in the multi-billion dollar global commercial real estate industry. We employ talented, motivated and innovative people that are focused on delivering superior solutions to our clients and are passionate about working with other highly skilled professionals in team environments.

If you are seeking an opportunity to join a winning team, work with the latest Microsoft technologies and develop your career, then Yardi Systems is the place for you. We have a pleasant and casual work environment, competitive salaries, and a comprehensive benefits package. Our corporate culture stresses integrity, respect, trust, responsibility, and fun.

EOE Race/Gender/Disability/Vets

"
9,DevOps Engineer,"Boston, MA",Feb  1,https://boston.craigslist.org/gbs/sof/d/boston-devops-engineer/6809064839.html,"
compensation: TBD

employment type: full-time

","

QR Code Link to This Post


Our client in Boston is looking for a Cloud DevOps Engineer who has experience in cloud technologies in varied environments to join. This person will focus on designing and developing automation to support continuous integration and delivery processes. Responsibilities include maintaining and enhancing internal tooling to enhance CI/CD pipeline and full system lifecycle. 

This position requires a high focus on automation, building repeatable solutions working within and between development and operation teams to identify and implement process improvements for the benefit of customer-facing services.

Responsibilities:

DevOps engineer with the goal of continuous delivery in an AWS cloud-based infrastructure
Operational point of contact for development, operations and testing.
Evaluate current development and operations procedures, recommend and implement tools and practices to increase efficiency, reliability and repeatability.
Operational review of cloud architecture with the goal of automating and improving the existing and future environments.
Configure, deploy, and manage Homesite services and applications.
Network Security
Maintain strong expertise and knowledge of current and emerging technologies and products
Provide best practices, recommendations and guidance for use of the cloud
Troubleshooting complex systems

Must haves:

5+ years as a DevOps Engineer
AWS experience
Experience with the Atlassian Tools (Jira, Confluence, Bitbucket)
Experience with a highly available and scalable SaaS.
Knowledge of CI/CD tools
Experience with Docker or other containerization tools
Strong Python scripting skills 
Our client has a great culture of stability with lots of growth going on across the organization.  It's a very collaborative culture where your work has an impact and you can see the results of your efforts.

Job ID: 170949    "
10,Scrum Master,"Boston, MA",Feb  1,https://boston.craigslist.org/gbs/sof/d/boston-scrum-master/6808944466.html,"
compensation: competitive

employment type: full-time

","

QR Code Link to This Post


Company Description

American Well, a leading telehealth platform in the US, is seeking a highly motivated and professional individual with expertise in Engineering. At American Well, we believe digital care delivery will transform healthcare. Our mission is to connect and enable providers, insurers, patients, and innovators to deliver greater access to more affordable, higher quality care. We do this by partnering with our clients to deliver video visits over mobile and web. We have doctors, therapists, and specialists on staff to help people get care when and where they need it most.

Brief Overview:

The Scrum Master will play a critical role in the Engineering department by leading the company's agile transformation and helping scrum teams deliver American Well solutions.  Specifically, the Scrum Master will act as the servant leader and advocate for one or more software development teams to drive continuous improvement and remove obstacles that are slowing down the team.  This is a highly creative and collaborative role that provides the right candidate with a unique opportunity to guide the development and testing of an industry leading TeleHealth platform. This position is based in our headquarters in Boston. Specifically, the Scrum Master will:


Job Description

• Work closely with Product Management, Development, QA and other stakeholders on planning and delivering high quality software using agile/scrum framework
• Facilitate scrum ceremonies for one or more scrum teams including the daily standup, sprint planning, grooming, demos, and retrospectives
• Participate in scrum of scrum ceremonies to communicate and mitigate risk, escalate blockers, and drive progress on cross-team dependencies
• Provide and track agile metrics as it relates to scrum team predictability and productivity with an eye towards continuous improvement
• Ensure the team has clear understanding of the quality of software they are developing and is constantly working to improve that quality
• Serve as Agile champion and coach teams and stakeholders on agile principles and the agile mindset and drive home the value of agile/scrum
• Understand the product and technology well enough to support the project, identify and communicate risks, and facilitate issue resolution


Qualifications

• 3+ years Agile program management experience in software development using Scrum
• 2+ years as Scrum Master
• Experience with Kanban a plus
• Experience driving/leading scaled Agile transformation efforts a plus
• Experience with Agile ALM tools like JIRA, Rally, etc.
• Strong ability to manage multiple projects and coordinate with other teams
• Strong ability to foster and maintain a positive and creative work environment for teams including resolving conflict within the team
• Experience with various sized co-located and geographically distributed teams a plus
• Excellent communication and interpersonal skills
• Excellent organizational and time management skills
• Excellent analytical and problem-solving skills
• Highly energetic, responsible, organized, self-disciplined, self-motivated, able to work with little or no supervision


Additional information

Should you join American Well and the Engineering team, you can expect:

The Engineering organization is a multi-disciplinary team of software professional dedicated to creating a state of the art TeleHealth experience on every platform we can get our hands on. Our cross-functional teams follow a pragmatic Agile methodology as we balance feature requests, strategic initiatives, tech debt, and exciting partnerships on the path to delivering a market leading product to a quickly growing customer base. We work hand in hand with the whole American Well organization to ensure that our product meets the needs of all of our users.

Working at American Well

American Well is changing how care is delivered through online and mobile technology. We strive to make the hard work of healthcare look easy. In order to make this a reality, we look for people with a fast-paced, mission-driven mentality. We're a go-getter culture that prides itself on quality, efficiency, smarts, initiative, creative thinking, and a strong work ethic. Our corporate headquarters are located in downtown Boston at 75 State Street -in the heart of the city. In addition to the opportunity to build the future of healthcare technology and a great location, we offer:

•       Unlimited Personal Time Off (Vacation time)

•       401K match

•       Competitive healthcare, dental and vision insurance plans

•       Free gym access - on-site

•       Prime office space with views overlooking all of Boston

•       Complimentary snacks and drinks




Please APPLY ONLINE at:https://link.do/x1I01 "
